gene_id,gut_r1,gut_r2,gut_r3,duct_r1,duct_r2,duct_r3
ENSMUSG00000044092,383.88,510.71,440.69,55.68,93.66,33.23
ENSMUSG00000075284,6118.04,5024.66,5148.52,1799.8,2236.14,2116.15
ENSMUSG00000020387,154.48,208.32,182.64,174.88,202.76,139.72
ENSMUSG00000075288,1.85,7.0,4.84,6.27,9.66,10.57
ENSMUSG00000075289,94.35,91.72,70.57,192.14,160.28,149.54
ENSMUSG00000024941,2090.53,2004.73,1905.96,1927.63,1798.76,1176.65
ENSMUSG00000040620,518.93,639.74,765.15,472.89,468.28,262.06
ENSMUSG00000024943,665.08,654.51,863.39,742.66,567.72,640.43
ENSMUSG00000024944,434.76,595.43,404.71,378.0,493.38,475.04
ENSMUSG00000024947,843.61,1155.89,1128.36,1370.04,851.59,850.39
ENSMUSG00000021936,113.78,143.03,240.75,291.73,345.66,279.43
ENSMUSG00000024949,8795.95,7735.99,8674.72,5752.29,6370.48,4976.96
ENSMUSG00000024948,3312.47,2899.44,3188.59,1877.44,1667.45,746.92
ENSMUSG00000045411,1287.62,1400.75,1115.9,1274.37,1056.28,894.95
ENSMUSG00000079614,2365.26,1813.51,1632.69,1410.04,1303.45,1056.57
ENSMUSG00000021933,0.0,0.0,0.0,9.41,5.79,0.76
ENSMUSG00000059534,1182.17,1488.59,1335.21,1704.12,1891.45,3338.87
ENSMUSG00000021932,792.74,916.47,849.55,1224.96,1374.9,1958.31
